Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Parameter_type,Parameter_FromFigure,Method_from_supplement,Parameter value,Exponent,Parameter lower bound,Parameter upper bound,Inverse_param,Parameter unit,Parameter value type,Parameter statistical approach,Parameter uncertainty - single type,Parameter uncertainty - single value,Parameter uncertainty - type,Parameter uncertainty - lower value,Parameter uncertainty - upper value,Distribution_type,Distribution_par1_type,Distribution_par1_value,Distribution_par1_uncertainty,Distribution_par2_type,Distribution_par2_value,Distribution_par2_uncertainty,parameter_paired,Parameter 2 value type,Parameter 2 value,Parameter 2 lower bound,Parameter 2 upper bound,Exponent_2,Inverse_param_2,Parameter 2 unit,Method_2_from_supplement,Parameter 2 statistical approach,Parameter 2 uncertainty - single type,Parameter 2 uncertainty - single value,Parameter 2 uncertainty type,Parameter 2 uncertainty - lower value,Parameter 2 uncertainty - upper value,Distribution_2_type,Distribution_2_par1_type,Distribution_2_par1_value,Distribution_2_par1_uncertainty,Distribution_2_par2_type,Distribution_2_par2_value,Distribution_2_par2_uncertainty,Genome_site,Genomic_sequence_available,Method_R,R_pathway,parameter_hd_from,Other_delay_start,parameter_hd_to,Other_delay_end,CFR_IFR_numerator,CFR_IFR_denominator,CFR_IFR_Method,Case_definition,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Method_disaggregated,Method_disaggregated_only,Method_disaggregated_by,Population_sex,Population_sample_size,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_country,Population_location,parameter_context_location_type,Method_moment_value,Urban/Rural area,Data_available,parameter_notes,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,access_param_id,Pathogen,num_rows,matching
142,1,FALSE,1883,Patrick Doohan,Human delay - other human delay (go to section),No,No,21,NA,NA,NA,No,Days,Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,4,57,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset while in Hospital,Recovery/non-Infectiousness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,16,Community based,Persons with symptoms,19,84,Saudi Arabia,tertiary care hospital,NA,Unspecified,Urban area,Yes - as an attachment,patients in a hospital setting but triangulated as community acquired infections. 'All case patients except 1 had comorbidities and/or immunocompromised status' but CFR was for all positive cases that presented in hospital. Patient data available in Table 3.,1,7,2013,31,1,2015,142_001,MERS-CoV,1,0
142,1,FALSE,1883,Patrick Doohan,Severity - proportion of symptomatic cases,No,No,NA,NA,NA,NA,NA,NA,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,Naive,Confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,16,Community based,Persons with symptoms,19,84,Saudi Arabia,tertiary care hospital,NA,Unspecified,Urban area,Yes - as an attachment,patients in a hospital setting but triangulated as community acquired infections. 'All case patients except 1 had comorbidities and/or immunocompromised status' but CFR was for all positive cases that presented in hospital. Patient data available in Table 3.,1,7,2013,31,1,2015,142_002,MERS-CoV,1,0
65,1,FALSE,1891,Tini Garske,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Age,Comorbidity,Other",NA,Significant,Adjusted,NA,NA,NA,Both,186,Population based,Persons with symptoms,16,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,"outcome is mortality among confirmed cases. There are 7 significant risk factors: 1. age 2. dyspnoea (during entire disease course), 3. diabetes mellitus, 4. chronic lung disease, 5. systolic blood pressure below 90mm Hg at admission, 6. white blood cell count at admission > 10,000/mm^3, 7. treated with mechanical ventilation",NA,5,2015,NA,NA,2015,065_001,MERS-CoV,1,0
143,1,FALSE,1891,Patrick Doohan,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Age,Comorbidity,Occupation,Other",Healthcare,Significant,Not adjusted,NA,NA,NA,Both,186,Population based,Persons with symptoms,16,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,outcome is mortality among confirmed cases. Other RFs are various symptoms and medical tests,NA,5,2015,NA,NA,2015,143_006,MERS-CoV,1,0
143,1,FALSE,1891,Patrick Doohan,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Comorbidity,Sex,Other",NA,Not significant,Not adjusted,NA,NA,NA,Both,186,Population based,Persons with symptoms,16,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,outcome is mortality among confirmed cases. Other RFs are various symptoms and medical tests,NA,5,2015,NA,NA,2015,143_007,MERS-CoV,1,0
65,1,FALSE,1891,Tini Garske,Human delay - symptom onset>death,No,No,14,0,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,1,174,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,33,Population based,Persons with symptoms,49,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,the upper end of the range (174 days) may be dodgy as the also report that all 33 cases die within 28 days.,NA,5,2015,NA,NA,2015,065_003,MERS-CoV,1,0
65,1,FALSE,1891,Tini Garske,Human delay - symptom onset>discharge/recovery,No,No,21,0,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,7,187,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,153,Population based,Persons with symptoms,17,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,NA,NA,5,2015,NA,NA,2015,065_004,MERS-CoV,1,0
65,1,FALSE,1891,Tini Garske,Human delay - other human delay (go to section),No,No,17,0,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,4,45,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset,Other,Negative PCR Test (Sputum),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,153,Population based,Persons with symptoms,17,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,NA,NA,5,2015,NA,NA,2015,065_005,MERS-CoV,1,0
65,1,FALSE,1891,Tini Garske,Human delay - other human delay (go to section),No,No,6,0,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,1,20,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,symptom onset,Other,initiation of antiviral treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,139,Population based,Persons with symptoms,NA,NA,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,"outcome is mortality among confirmed cases, risk factor is dyspnea at admission",NA,5,2015,NA,NA,2015,065_002,MERS-CoV,1,0
143,1,FALSE,1891,Patrick Doohan,Severity - proportion of asymptomatic cases,No,No,1.1,0,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,186,Naive,Confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,186,Population based,Persons with symptoms,16,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,NA,NA,5,2015,NA,NA,2015,143_004,MERS-CoV,1,0
143,1,FALSE,1891,Patrick Doohan,Severity - case fatality rate (CFR),No,No,20.4,0,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,186,Naive,Confirmed,NA,NA,NA,NA,NA,Yes,No,"Age,Occupation,Sex,Symptoms,Other",Both,186,Population based,Persons with symptoms,16,86,Republic of Korea,NA,NA,Post outbreak,Unspecified,Not available,NA,NA,5,2015,NA,NA,2015,143_005,MERS-CoV,1,0
162,1,FALSE,1904,Julia Halder,Reproduction number (Basic R0),No,No,0.75,NA,NA,NA,No,No units,Unspecified,Estimated parameter,NA,NA,CI95%,0.54,1.09,Negative-Binomial,Mean,0.75,yes (ONLY tick if this applies),NA,0.14,yes (ONLY tick if this applies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renewal equations / Branching process,Human-human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,36,Unspecified,Unspecified,NA,NA,"Algeria,Austria,China,Egypt,France,Germany,Greece,Iran (Islamic Republic of),Italy,Jordan,Kuwait,Lebanon,Malaysia,Netherlands,Oman,Philippines,Republic of Korea,Thailand,Tunisia,TÃ¼rkiye,United Kingdom of Great Britain and Northern Ireland,United States of America,Yemen","All countries with importation events, excluding Saudi, Qatar, UAE",NA,Unspecified,Unspecified,Unspecified,"This was estimated by fitting a BP model to data on secondary case counts for different importation events, where sample size refers to number of importation events considered. This is full sample. Uses all 36 events. Data from other papers, unknown if directly available.",NA,NA,NA,NA,NA,NA,162_001,MERS-CoV,1,0
162,1,FALSE,1904,Julia Halder,Overdispersion,No,No,0.14,NA,NA,NA,No,No units,Unspecified,Estimated parameter,NA,NA,CI95%,0.06,0.32,Negative-Binomial,Mean,0.75,yes (ONLY tick if this applies),NA,0.14,yes (ONLY tick if this applies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,36,Unspecified,Unspecified,NA,NA,"Algeria,Austria,China,Egypt,France,Germany,Greece,Iran (Islamic Republic of),Italy,Jordan,Kuwait,Lebanon,Malaysia,Netherlands,Oman,Philippines,Republic of Korea,Thailand,Tunisia,TÃ¼rkiye,United Kingdom of Great Britain and Northern Ireland,United States of America,Yemen","All countries with importation events, excluding Saudi, Qatar, UAE",NA,Unspecified,Unspecified,Unspecified,"This was estimated by fitting a BP model to data on secondary case counts for different importation events, where sample size refers to number of importation events considered. This is full sample. Uses all 36 events. Data from other papers, unknown if directly available.",NA,NA,NA,NA,NA,NA,162_002,MERS-CoV,1,0
162,1,FALSE,1904,Julia Halder,Reproduction number (Basic R0),No,No,0.81,NA,NA,NA,No,No units,Unspecified,Estimated parameter,NA,NA,CI95%,0.49,1.46,Negative-Binomial,Mean,0.81,yes (ONLY tick if this applies),NA,0.07,yes (ONLY tick if this applies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renewal equations / Branching process,Human-human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,23,Unspecified,Unspecified,NA,NA,"Algeria,Austria,China,France,Germany,Greece,Italy,Malaysia,Netherlands,Philippines,Republic of Korea,Thailand,Tunisia,United Kingdom of Great Britain and Northern Ireland,United States of America","Subset of 15 countries. Table 1 says '23 countries', error.",NA,Unspecified,Unspecified,Unspecified,"This was estimated by fitting a BP model to data on secondary case counts for different importation events, where sample size refers to number of importation events considered. This is restricted sample that excludes Middle-East. Subset of non Middle East countries; 23 events; 208 cases. Data from other papers, unknown if actually available.",NA,NA,NA,NA,NA,NA,162_003,MERS-CoV,1,0
162,1,FALSE,1904,Julia Halder,Overdispersion,No,No,0.07,NA,NA,NA,No,No units,Unspecified,Estimated parameter,NA,NA,CI95%,0.02,0.21,Negative-Binomial,Mean,0.81,yes (ONLY tick if this applies),NA,0.07,yes (ONLY tick if this applies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,23,Unspecified,Unspecified,NA,NA,"Algeria,Austria,China,France,Germany,Greece,Italy,Malaysia,Netherlands,Philippines,Republic of Korea,Thailand,Tunisia,United Kingdom of Great Britain and Northern Ireland,United States of America","Subset of 15 countries. Table 1 says '23 countries', error.",NA,Unspecified,Unspecified,Unspecified,"This was estimated by fitting a BP model to data on secondary case counts for different importation events, where sample size refers to number of importation events considered. This is restricted sample that excludes Middle-East. Subset of non Middle East countries; 23 events; 208 cases. Data from other papers, unknown if actually available.",NA,NA,NA,NA,NA,NA,162_004,MERS-CoV,1,0
83,1,FALSE,1925,Yiran Wang,Secondary attack rate,No,No,23.1,0,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,26,Household based,Other,NA,NA,Saudi Arabia,Al-Ahssa,province,Unspecified,Unspecified,Unspecified,The index case had close contact with camels which were later tested positive for MERS. Group is household members of index case,20,4,2015,23,6,2015,083_001,MERS-CoV,1,0
83,1,FALSE,1925,Yiran Wang,Severity - case fatality rate (CFR),No,No,40.4,0,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,52,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,52,Mixed settings,Mixed groups,NA,NA,Saudi Arabia,Al-Ahssa,province,Unspecified,Unspecified,Unspecified,mixed groups in mixed settings (household and hospital),20,4,2015,23,6,2015,083_002,MERS-CoV,1,0
83,1,FALSE,1925,Yiran Wang,Severity - proportion of symptomatic cases,No,No,84.6,0,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,52,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,52,Mixed settings,Mixed groups,NA,NA,Saudi Arabia,Al-Ahssa,province,Unspecified,Unspecified,Unspecified,NA,20,4,2015,23,6,2015,083_003,MERS-CoV,1,0
83,1,FALSE,1925,Yiran Wang,Human delay - incubation period,No,No,6,0,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,44,Mixed settings,Mixed groups,NA,NA,Saudi Arabia,Al-Ahssa,province,Unspecified,Unspecified,Unspecified,The median incubation period was ABOUT 6 days.,20,4,2015,23,6,2015,083_004,MERS-CoV,1,0
83,1,FALSE,1925,Yiran Wang,Severity - proportion of asymptomatic cases,No,No,15.4,0,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,52,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,52,Mixed settings,Mixed groups,NA,NA,Saudi Arabia,Al-Ahssa,province,Unspecified,Unspecified,Unspecified,NA,20,4,2015,23,6,2015,083_005,MERS-CoV,1,0
85,1,FALSE,1933,Ruth McCabe,Human delay - symptom onset>admission to care,No,Yes,4.6,NA,NA,NA,No,Days,Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Standard Deviation,4.5,NA,NA,NA,NA,Days,Yes,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,Data was available for 31% of the cases,Hospital based,Persons under investigation,NA,NA,"Jordan,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Yemen",Middle East,"Country, Province",Mid outbreak,Unspecified,Yes - on another platform,Data are presented in graph in supp,NA,3,2012,NA,9,2014,085_001,MERS-CoV,1,0
85,1,FALSE,1933,Ruth McCabe,Human delay - other human delay (go to section),No,Yes,10.5,NA,NA,NA,No,Days,Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Standard Deviation,9.2,NA,NA,NA,No,Days,Yes,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom onset,Other,Notification to WHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,Data was available for 49% of the cases.,Hospital based,Persons under investigation,NA,NA,"Jordan,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Yemen",Middle East,region,Unspecified,Unspecified,Yes - on another platform,Data are shown in figure in supp,NA,3,2012,NA,9,2014,085_002,MERS-CoV,1,0
85,1,FALSE,1933,Ruth McCabe,"Reproduction number (Effective, Re)",Yes,No,NA,NA,NA,NA,No,NA,NA,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renewal equations / Branching process,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Region, Method",Unspecified,NA,Hospital based,Persons under investigation,NA,NA,"Jordan,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Yemen",,,Mid outbreak,Unspecified,Yes - on another platform,Figure 2 presents estimates of R per region,NA,3,2012,NA,9,2014,085_003,MERS-CoV,1,0
85,1,FALSE,1933,Ruth McCabe,"Reproduction number (Effective, Re)",No,No,NA,NA,0.26,2.3,No,No units,Mean,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renewal equations / Branching process,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,,,Mid outbreak,Unspecified,Yes - on another platform,NA,NA,3,2012,NA,9,2014,085_004,MERS-CoV,1,0
85,1,FALSE,1933,Ruth McCabe,Relative contribution - human to human,No,No,75,NA,52,89,No,Percentage (%),Central - unspecified,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,"Region,Time",Unspecified,NA,Hospital based,Persons under investigation,NA,NA,"Jordan,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Yemen",Middle East,"Country, Province",Unspecified,Unspecified,Yes - on another platform,NA,NA,3,2012,NA,9,2014,085_005,MERS-CoV,1,0
87,1,FALSE,1943,Ruth McCabe,Severity - case fatality rate (CFR),No,NA,NA,NA,1.8,48.4,No,Percentage (%),Maximum likelihood,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed,NA,NA,NA,NA,NA,Yes,Yes,"Age,Time,Other",Both,185,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,NA,NA,Yes - on another platform,"Parameter is not ONLY reported in a figure but it is fully disaggregated in a figure. 'Other' is 'under treatment'. Uncertainty for highest risk group: 95% CI of (35.2-61.3%). Other uncertainties were not available, so I didn't enter this here.",NA,5,2015,NA,7,2015,087_004,MERS-CoV,1,0
126,1,FALSE,1943,Kieran Chopra,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Age,Other",NA,Significant,Not adjusted,No,NA,NA,Both,185,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,NA,NA,Yes - on another platform,Context: whole outbreak. Data from WHO (published). Being aged over 60 and a 'patient under treatment' are the covariates,NA,5,2015,NA,7,2015,126_001,MERS-CoV,1,0
126,1,FALSE,1943,Kieran Chopra,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),Sex,NA,Not significant,Not adjusted,No,NA,NA,Both,185,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,NA,NA,Yes - on another platform,NA,NA,5,2015,NA,7,2015,126_002,MERS-CoV,1,0
126,1,FALSE,1943,Kieran Chopra,Risk factors,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Age,Other",NA,Unspecified,Adjusted,NA,NA,NA,Both,185,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,NA,NA,Yes - on another platform,"Age and being a 'patient in treatment' are the covariates considered. They are separately analysed in an unadjusted analysis. In the analysis, odds ratios are given but the paper doesn't specify whether they're significant. Could argue significance of the risk factors based on CIs",NA,5,2015,NA,7,2015,126_003,MERS-CoV,1,0
126,1,FALSE,1943,Kieran Chopra,Human delay - symptom onset>death,No,No,14.6,NA,NA,NA,No,Days,Mean,Estimated parameter,NA,NA,CI95%,11.5,19.5,NA,NA,NA,NA,NA,NA,NA,Yes,Standard Deviation,10.4,NA,NA,0,No,Days,No,Estimated parameter,NA,NA,CI95%,7.6,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,185,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,NA,NA,Yes - on another platform,NA,NA,5,2015,NA,7,2015,126_006,MERS-CoV,1,0
88,1,FALSE,1947,Ruth McCabe,Human delay - other human delay (go to section),No,No,13,0,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Isolation,Discharge from Care/Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,NA,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,Mid outbreak,Unspecified,Not available,"No information given on how this was estimated, but the word ""estimated"" is used.",NA,5,2015,NA,7,2015,088_001,MERS-CoV,1,0
88,1,FALSE,1947,Ruth McCabe,"Reproduction number (Effective, Re)",Yes,No,NA,NA,NA,NA,No,No units,Unspecified,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,186,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,Mid outbreak,Unspecified,Not available,Plot of Rt without any uncertainty,NA,5,2015,NA,7,2015,088_002,MERS-CoV,1,0
107,1,FALSE,1958,Amy Dighe,Reproduction number (Basic R0),No,No,4.42,NA,NA,NA,No,No units,Central - unspecified,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Compartmental model,Human-human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,NA,Hospital based,Persons under investigation,NA,NA,Republic of Korea,NA,NA,Start outbreak,Unspecified,Not available,R0 estimated by calibrating transmission coefficients and using least-squares method to assess fit to data from before 9th June when authors say effective control measures were introduced (this is the time that the incidence of confirmed cases started to decline).,20,5,2015,8,6,2015,107_001,MERS-CoV,1,0
